OrderID,OrderDate,OrderTime,Hour,StoreID,ProductID,Quantity,UnitPrice,Discount,Revenue,Cost,Profit,PaymentMethod,CustomerType
100001,2024-01-01,09:19:00,9,STR_006,PRD_0027,1,8.96,0.00,8.96,6.20,2.76,Credit Card,Returning
100002,2024-01-01,21:46:00,21,STR_004,PRD_0020,2,4.89,0.00,9.78,6.82,2.96,Credit Card,Returning
100003,2024-01-01,08:32:00,8,STR_004,PRD_0027,2,9.30,0.10,16.74,10.78,5.96,Credit Card,Returning
100004,2024-01-01,17:59:00,17,STR_005,PRD_0029,2,5.99,0.00,11.98,6.79,5.19,Credit Card,Returning
100005,2024-01-01,18:21:00,18,STR_004,PRD_0042,4,5.57,0.00,22.28,13.55,8.73,Debit Card,Returning
100006,2024-01-01,17:40:00,17,STR_002,PRD_0042,2,6.70,0.00,13.40,7.46,5.94,Mobile Wallet,Returning
100007,2024-01-01,17:09:00,17,STR_004,PRD_0023,2,6.09,0.00,12.18,8.02,4.16,Credit Card,Returning
100008,2024-01-01,10:23:00,10,STR_003,PRD_0040,3,7.04,0.10,19.01,10.52,8.49,Credit Card,Returning
100009,2024-01-01,10:27:00,10,STR_005,PRD_0002,2,5.48,0.00,10.96,7.57,3.39,Credit Card,Returning
100010,2024-01-01,12:06:00,12,STR_005,PRD_0035,4,3.46,0.00,13.84,7.75,6.09,Mobile Wallet,New
100011,2024-01-01,12:40:00,12,STR_004,PRD_0002,4,5.87,0.00,23.48,14.81,8.67,Credit Card,Returning
100012,2024-01-01,08:40:00,8,STR_005,PRD_0017,1,5.26,0.05,5.00,2.79,2.21,Credit Card,Returning
100013,2024-01-01,19:25:00,19,STR_004,PRD_0013,4,5.64,0.05,21.43,14.18,7.25,Debit Card,Returning
100014,2024-01-01,10:06:00,10,STR_004,PRD_0033,2,5.12,0.00,10.24,6.46,3.78,Debit Card,New
100015,2024-01-01,12:13:00,12,STR_002,PRD_0007,3,4.36,0.10,11.77,6.57,5.20,Credit Card,New
100016,2024-01-01,17:58:00,17,STR_001,PRD_0037,4,3.21,0.00,12.84,8.12,4.72,Credit Card,Returning
100017,2024-01-01,18:26:00,18,STR_004,PRD_0029,4,6.66,0.00,26.64,15.11,11.53,Debit Card,Returning
100018,2024-01-01,12:57:00,12,STR_004,PRD_0028,1,6.86,0.10,6.17,3.44,2.73,Debit Card,Returning
100019,2024-01-01,12:03:00,12,STR_005,PRD_0045,1,4.82,0.05,4.58,2.97,1.61,Credit Card,New
100020,2024-01-01,12:14:00,12,STR_001,PRD_0029,2,6.83,0.00,13.66,7.85,5.81,Credit Card,Returning
100021,2024-01-01,17:51:00,17,STR_004,PRD_0026,3,9.23,0.00,27.69,18.29,9.40,Credit Card,Returning
100022,2024-01-01,15:28:00,15,STR_005,PRD_0024,4,5.31,0.10,19.12,13.32,5.80,Cash,New
100023,2024-01-01,17:21:00,17,STR_006,PRD_0053,1,6.85,0.00,6.85,4.55,2.30,Debit Card,New
